Start date;End date;Volume (+) [MWh] Original resolutions;Volume (-) [MWh] Original resolutions;Price [€/MWh] Original resolutions;Net income [€] Calculated resolutions
May 1, 2025 12:00 AM;May 1, 2025 12:15 AM;-;-;104.13;-
May 1, 2025 12:15 AM;May 1, 2025 12:30 AM;-;-;97.54;-
May 1, 2025 12:30 AM;May 1, 2025 12:45 AM;-;-;128.77;-
May 1, 2025 12:45 AM;May 1, 2025 1:00 AM;-;-;84.21;-
May 1, 2025 1:00 AM;May 1, 2025 1:15 AM;-;-;132.69;-
May 1, 2025 1:15 AM;May 1, 2025 1:30 AM;-;-;145.67;-
May 1, 2025 1:30 AM;May 1, 2025 1:45 AM;-;-;123.79;-
May 1, 2025 1:45 AM;May 1, 2025 2:00 AM;-;-;80.07;-
May 1, 2025 2:00 AM;May 1, 2025 2:15 AM;-;-;90.55;-
May 1, 2025 2:15 AM;May 1, 2025 2:30 AM;-;-;102.30;-
May 1, 2025 2:30 AM;May 1, 2025 2:45 AM;-;-;108.28;-
May 1, 2025 2:45 AM;May 1, 2025 3:00 AM;-;-;106.62;-
May 1, 2025 3:00 AM;May 1, 2025 3:15 AM;-;-;124.76;-
May 1, 2025 3:15 AM;May 1, 2025 3:30 AM;-;-;134.38;-
May 1, 2025 3:30 AM;May 1, 2025 3:45 AM;-;-;162.66;-
May 1, 2025 3:45 AM;May 1, 2025 4:00 AM;-;-;140.84;-
May 1, 2025 4:00 AM;May 1, 2025 4:15 AM;-;-;93.53;-
May 1, 2025 4:15 AM;May 1, 2025 4:30 AM;-;-;94.22;-
May 1, 2025 4:30 AM;May 1, 2025 4:45 AM;-;-;90.78;-
May 1, 2025 4:45 AM;May 1, 2025 5:00 AM;-;-;102.43;-
May 1, 2025 5:00 AM;May 1, 2025 5:15 AM;-;-;89.16;-
May 1, 2025 5:15 AM;May 1, 2025 5:30 AM;-;-;96.24;-
May 1, 2025 5:30 AM;May 1, 2025 5:45 AM;-;-;77.06;-
May 1, 2025 5:45 AM;May 1, 2025 6:00 AM;-;-;72.61;-
May 1, 2025 6:00 AM;May 1, 2025 6:15 AM;-;-;80.26;-
May 1, 2025 6:15 AM;May 1, 2025 6:30 AM;-;-;97.17;-
May 1, 2025 6:30 AM;May 1, 2025 6:45 AM;-;-;73.04;-
May 1, 2025 6:45 AM;May 1, 2025 7:00 AM;-;-;53.20;-
May 1, 2025 7:00 AM;May 1, 2025 7:15 AM;-;-;89.54;-
May 1, 2025 7:15 AM;May 1, 2025 7:30 AM;-;-;66.68;-
May 1, 2025 7:30 AM;May 1, 2025 7:45 AM;-;-;17.00;-
May 1, 2025 7:45 AM;May 1, 2025 8:00 AM;-;-;84.11;-
May 1, 2025 8:00 AM;May 1, 2025 8:15 AM;-;-;41.50;-
May 1, 2025 8:15 AM;May 1, 2025 8:30 AM;-;-;89.33;-
May 1, 2025 8:30 AM;May 1, 2025 8:45 AM;-;-;100.47;-
May 1, 2025 8:45 AM;May 1, 2025 9:00 AM;-;-;51.73;-
May 1, 2025 9:00 AM;May 1, 2025 9:15 AM;-;-;114.99;-
May 1, 2025 9:15 AM;May 1, 2025 9:30 AM;-;-;77.57;-
May 1, 2025 9:30 AM;May 1, 2025 9:45 AM;-;-;9.83;-
May 1, 2025 9:45 AM;May 1, 2025 10:00 AM;-;-;-18.61;-
May 1, 2025 10:00 AM;May 1, 2025 10:15 AM;-;-;11.22;-
May 1, 2025 10:15 AM;May 1, 2025 10:30 AM;-;-;-10.25;-
May 1, 2025 10:30 AM;May 1, 2025 10:45 AM;-;-;-18.64;-
May 1, 2025 10:45 AM;May 1, 2025 11:00 AM;-;-;-16.19;-
May 1, 2025 11:00 AM;May 1, 2025 11:15 AM;-;-;7.01;-
May 1, 2025 11:15 AM;May 1, 2025 11:30 AM;-;-;-5.00;-
May 1, 2025 11:30 AM;May 1, 2025 11:45 AM;-;-;-5.48;-
May 1, 2025 11:45 AM;May 1, 2025 12:00 PM;-;-;-8.04;-
May 1, 2025 12:00 PM;May 1, 2025 12:15 PM;-;-;-10.68;-
May 1, 2025 12:15 PM;May 1, 2025 12:30 PM;-;-;-11.59;-
May 1, 2025 12:30 PM;May 1, 2025 12:45 PM;-;-;-28.69;-
May 1, 2025 12:45 PM;May 1, 2025 1:00 PM;-;-;-37.31;-
May 1, 2025 1:00 PM;May 1, 2025 1:15 PM;-;-;-79.17;-
May 1, 2025 1:15 PM;May 1, 2025 1:30 PM;-;-;-89.04;-
May 1, 2025 1:30 PM;May 1, 2025 1:45 PM;-;-;-101.16;-
May 1, 2025 1:45 PM;May 1, 2025 2:00 PM;-;-;-117.00;-
May 1, 2025 2:00 PM;May 1, 2025 2:15 PM;-;-;-3.19;-
May 1, 2025 2:15 PM;May 1, 2025 2:30 PM;-;-;-123.86;-
May 1, 2025 2:30 PM;May 1, 2025 2:45 PM;-;-;-87.16;-
May 1, 2025 2:45 PM;May 1, 2025 3:00 PM;-;-;-4.75;-
May 1, 2025 3:00 PM;May 1, 2025 3:15 PM;-;-;24.09;-
May 1, 2025 3:15 PM;May 1, 2025 3:30 PM;-;-;-2.11;-
May 1, 2025 3:30 PM;May 1, 2025 3:45 PM;-;-;-7.03;-
May 1, 2025 3:45 PM;May 1, 2025 4:00 PM;-;-;-4.67;-
May 1, 2025 4:00 PM;May 1, 2025 4:15 PM;-;-;-10.07;-
May 1, 2025 4:15 PM;May 1, 2025 4:30 PM;-;-;-9.77;-
May 1, 2025 4:30 PM;May 1, 2025 4:45 PM;-;-;-11.35;-
May 1, 2025 4:45 PM;May 1, 2025 5:00 PM;-;-;-0.06;-
May 1, 2025 5:00 PM;May 1, 2025 5:15 PM;-;-;-17.89;-
May 1, 2025 5:15 PM;May 1, 2025 5:30 PM;-;-;-17.01;-
May 1, 2025 5:30 PM;May 1, 2025 5:45 PM;-;-;51.63;-
May 1, 2025 5:45 PM;May 1, 2025 6:00 PM;-;-;96.45;-
May 1, 2025 6:00 PM;May 1, 2025 6:15 PM;-;-;15.62;-
May 1, 2025 6:15 PM;May 1, 2025 6:30 PM;-;-;8.27;-
May 1, 2025 6:30 PM;May 1, 2025 6:45 PM;-;-;41.01;-
May 1, 2025 6:45 PM;May 1, 2025 7:00 PM;-;-;132.36;-
May 1, 2025 7:00 PM;May 1, 2025 7:15 PM;-;-;70.92;-
May 1, 2025 7:15 PM;May 1, 2025 7:30 PM;-;-;52.70;-
May 1, 2025 7:30 PM;May 1, 2025 7:45 PM;-;-;185.95;-
May 1, 2025 7:45 PM;May 1, 2025 8:00 PM;-;-;192.10;-
May 1, 2025 8:00 PM;May 1, 2025 8:15 PM;-;-;217.43;-
May 1, 2025 8:15 PM;May 1, 2025 8:30 PM;-;-;189.60;-
May 1, 2025 8:30 PM;May 1, 2025 8:45 PM;-;-;252.95;-
May 1, 2025 8:45 PM;May 1, 2025 9:00 PM;-;-;215.53;-
May 1, 2025 9:00 PM;May 1, 2025 9:15 PM;-;-;164.28;-
May 1, 2025 9:15 PM;May 1, 2025 9:30 PM;-;-;72.98;-
May 1, 2025 9:30 PM;May 1, 2025 9:45 PM;-;-;71.52;-
May 1, 2025 9:45 PM;May 1, 2025 10:00 PM;-;-;78.10;-
May 1, 2025 10:00 PM;May 1, 2025 10:15 PM;-;-;106.33;-
May 1, 2025 10:15 PM;May 1, 2025 10:30 PM;-;-;76.99;-
May 1, 2025 10:30 PM;May 1, 2025 10:45 PM;-;-;64.05;-
May 1, 2025 10:45 PM;May 1, 2025 11:00 PM;-;-;75.98;-
May 1, 2025 11:00 PM;May 1, 2025 11:15 PM;-;-;73.88;-
May 1, 2025 11:15 PM;May 1, 2025 11:30 PM;-;-;56.15;-
May 1, 2025 11:30 PM;May 1, 2025 11:45 PM;-;-;97.34;-
May 1, 2025 11:45 PM;May 2, 2025 12:00 AM;-;-;123.72;-
May 2, 2025 12:00 AM;May 2, 2025 12:15 AM;-;-;132.10;-
May 2, 2025 12:15 AM;May 2, 2025 12:30 AM;-;-;181.13;-
May 2, 2025 12:30 AM;May 2, 2025 12:45 AM;-;-;156.54;-
May 2, 2025 12:45 AM;May 2, 2025 1:00 AM;-;-;137.26;-
May 2, 2025 1:00 AM;May 2, 2025 1:15 AM;-;-;107.30;-
May 2, 2025 1:15 AM;May 2, 2025 1:30 AM;-;-;46.10;-
May 2, 2025 1:30 AM;May 2, 2025 1:45 AM;-;-;40.50;-
May 2, 2025 1:45 AM;May 2, 2025 2:00 AM;-;-;18.87;-
May 2, 2025 2:00 AM;May 2, 2025 2:15 AM;-;-;60.68;-
May 2, 2025 2:15 AM;May 2, 2025 2:30 AM;-;-;53.60;-
May 2, 2025 2:30 AM;May 2, 2025 2:45 AM;-;-;44.31;-
May 2, 2025 2:45 AM;May 2, 2025 3:00 AM;-;-;44.15;-
May 2, 2025 3:00 AM;May 2, 2025 3:15 AM;-;-;41.66;-
May 2, 2025 3:15 AM;May 2, 2025 3:30 AM;-;-;31.78;-
May 2, 2025 3:30 AM;May 2, 2025 3:45 AM;-;-;37.82;-
May 2, 2025 3:45 AM;May 2, 2025 4:00 AM;-;-;40.67;-
May 2, 2025 4:00 AM;May 2, 2025 4:15 AM;-;-;101.10;-
May 2, 2025 4:15 AM;May 2, 2025 4:30 AM;-;-;72.84;-
May 2, 2025 4:30 AM;May 2, 2025 4:45 AM;-;-;106.70;-
May 2, 2025 4:45 AM;May 2, 2025 5:00 AM;-;-;111.87;-
May 2, 2025 5:00 AM;May 2, 2025 5:15 AM;-;-;81.14;-
May 2, 2025 5:15 AM;May 2, 2025 5:30 AM;-;-;64.54;-
May 2, 2025 5:30 AM;May 2, 2025 5:45 AM;-;-;69.18;-
May 2, 2025 5:45 AM;May 2, 2025 6:00 AM;-;-;34.21;-
May 2, 2025 6:00 AM;May 2, 2025 6:15 AM;-;-;25.41;-
May 2, 2025 6:15 AM;May 2, 2025 6:30 AM;-;-;29.32;-
May 2, 2025 6:30 AM;May 2, 2025 6:45 AM;-;-;34.35;-
May 2, 2025 6:45 AM;May 2, 2025 7:00 AM;-;-;24.51;-
May 2, 2025 7:00 AM;May 2, 2025 7:15 AM;-;-;54.20;-
May 2, 2025 7:15 AM;May 2, 2025 7:30 AM;-;-;13.92;-
May 2, 2025 7:30 AM;May 2, 2025 7:45 AM;-;-;13.97;-
May 2, 2025 7:45 AM;May 2, 2025 8:00 AM;-;-;13.91;-
May 2, 2025 8:00 AM;May 2, 2025 8:15 AM;-;-;52.29;-
May 2, 2025 8:15 AM;May 2, 2025 8:30 AM;-;-;42.84;-
May 2, 2025 8:30 AM;May 2, 2025 8:45 AM;-;-;69.00;-
May 2, 2025 8:45 AM;May 2, 2025 9:00 AM;-;-;81.68;-
May 2, 2025 9:00 AM;May 2, 2025 9:15 AM;-;-;180.13;-
May 2, 2025 9:15 AM;May 2, 2025 9:30 AM;-;-;199.14;-
May 2, 2025 9:30 AM;May 2, 2025 9:45 AM;-;-;129.68;-
May 2, 2025 9:45 AM;May 2, 2025 10:00 AM;-;-;-30.07;-
May 2, 2025 10:00 AM;May 2, 2025 10:15 AM;-;-;49.71;-
May 2, 2025 10:15 AM;May 2, 2025 10:30 AM;-;-;-26.88;-
May 2, 2025 10:30 AM;May 2, 2025 10:45 AM;-;-;-2.20;-
May 2, 2025 10:45 AM;May 2, 2025 11:00 AM;-;-;-44.67;-
May 2, 2025 11:00 AM;May 2, 2025 11:15 AM;-;-;25.53;-
May 2, 2025 11:15 AM;May 2, 2025 11:30 AM;-;-;1.09;-
May 2, 2025 11:30 AM;May 2, 2025 11:45 AM;-;-;-12.58;-
May 2, 2025 11:45 AM;May 2, 2025 12:00 PM;-;-;-22.65;-
May 2, 2025 12:00 PM;May 2, 2025 12:15 PM;-;-;-23.08;-
May 2, 2025 12:15 PM;May 2, 2025 12:30 PM;-;-;-19.91;-
May 2, 2025 12:30 PM;May 2, 2025 12:45 PM;-;-;65.64;-
May 2, 2025 12:45 PM;May 2, 2025 1:00 PM;-;-;-34.03;-
May 2, 2025 1:00 PM;May 2, 2025 1:15 PM;-;-;-7.61;-
May 2, 2025 1:15 PM;May 2, 2025 1:30 PM;-;-;-8.71;-
May 2, 2025 1:30 PM;May 2, 2025 1:45 PM;-;-;-15.64;-
May 2, 2025 1:45 PM;May 2, 2025 2:00 PM;-;-;19.72;-
May 2, 2025 2:00 PM;May 2, 2025 2:15 PM;-;-;5.37;-
May 2, 2025 2:15 PM;May 2, 2025 2:30 PM;-;-;-9.91;-
May 2, 2025 2:30 PM;May 2, 2025 2:45 PM;-;-;-17.55;-
May 2, 2025 2:45 PM;May 2, 2025 3:00 PM;-;-;-17.45;-
May 2, 2025 3:00 PM;May 2, 2025 3:15 PM;-;-;-20.28;-
May 2, 2025 3:15 PM;May 2, 2025 3:30 PM;-;-;-19.65;-
May 2, 2025 3:30 PM;May 2, 2025 3:45 PM;-;-;-14.29;-
May 2, 2025 3:45 PM;May 2, 2025 4:00 PM;-;-;8.69;-
May 2, 2025 4:00 PM;May 2, 2025 4:15 PM;-;-;111.14;-
May 2, 2025 4:15 PM;May 2, 2025 4:30 PM;-;-;-21.52;-
May 2, 2025 4:30 PM;May 2, 2025 4:45 PM;-;-;-13.62;-
May 2, 2025 4:45 PM;May 2, 2025 5:00 PM;-;-;89.15;-
May 2, 2025 5:00 PM;May 2, 2025 5:15 PM;-;-;77.00;-
May 2, 2025 5:15 PM;May 2, 2025 5:30 PM;-;-;57.76;-
May 2, 2025 5:30 PM;May 2, 2025 5:45 PM;-;-;75.17;-
May 2, 2025 5:45 PM;May 2, 2025 6:00 PM;-;-;66.25;-
May 2, 2025 6:00 PM;May 2, 2025 6:15 PM;-;-;8.00;-
May 2, 2025 6:15 PM;May 2, 2025 6:30 PM;-;-;212.50;-
May 2, 2025 6:30 PM;May 2, 2025 6:45 PM;-;-;135.86;-
May 2, 2025 6:45 PM;May 2, 2025 7:00 PM;-;-;122.00;-
May 2, 2025 7:00 PM;May 2, 2025 7:15 PM;-;-;17.58;-
May 2, 2025 7:15 PM;May 2, 2025 7:30 PM;-;-;55.00;-
May 2, 2025 7:30 PM;May 2, 2025 7:45 PM;-;-;64.01;-
May 2, 2025 7:45 PM;May 2, 2025 8:00 PM;-;-;214.68;-
May 2, 2025 8:00 PM;May 2, 2025 8:15 PM;-;-;131.52;-
May 2, 2025 8:15 PM;May 2, 2025 8:30 PM;-;-;205.00;-
May 2, 2025 8:30 PM;May 2, 2025 8:45 PM;-;-;86.68;-
May 2, 2025 8:45 PM;May 2, 2025 9:00 PM;-;-;325.68;-
May 2, 2025 9:00 PM;May 2, 2025 9:15 PM;-;-;740.63;-
May 2, 2025 9:15 PM;May 2, 2025 9:30 PM;-;-;635.78;-
May 2, 2025 9:30 PM;May 2, 2025 9:45 PM;-;-;284.14;-
May 2, 2025 9:45 PM;May 2, 2025 10:00 PM;-;-;239.86;-
