Timeslot,Up_price(€/MWh),Dn_price(€/MWh),,,
00:00 - 00:15,3.84,2.65,,3.84,2.65
"00:15 - 00:30			",3.84,2.65,,3.84,2.65
00:30 - 00:45,3.84,2.65,,3.84,2.65
00:45 - 01:00,3.84,2.65,,3.84,2.65
01:00 - 01:15,3.84,2.65,,3.84,2.65
01:15 - 01:30,3.84,2.65,,3.84,2.65
01:30 - 01:45,3.84,2.65,,3.84,2.65
01:45 - 02:00,3.84,2.65,,3.84,2.65
02:00 - 02:15,3.84,2.65,,3.84,2.65
02:15 - 02:30,3.84,2.65,,3.84,2.65
02:30 - 02:45,3.84,2.65,,3.84,2.65
"02:45 - 03:00	",3.84,2.65,,3.84,2.65
"03:00 - 03:15				",3.84,2.65,,3.84,2.65
"03:15 - 03:30				",3.84,2.65,,3.84,2.65
"03:30 - 03:45				",3.84,2.65,,3.84,2.65
"03:45 - 04:00				",3.84,2.65,,3.84,2.65
"04:00 - 04:15				",15.2,5.16,,15.2,5.16
"04:15 - 04:30				",15.2,5.16,,15.2,5.16
"04:30 - 04:45				",15.2,5.16,,15.2,5.16
"04:45 - 05:00				",15.2,5.16,,15.2,5.16
"05:00 - 05:15				",15.2,5.16,,15.2,5.16
"05:15 - 05:30			",15.2,5.16,,15.2,5.16
"05:30 - 05:45				",15.2,5.16,,15.2,5.16
"05:45 - 06:00				",15.2,5.16,,15.2,5.16
"06:00 - 06:15				",15.2,5.16,,15.2,5.16
"06:15 - 06:30				",15.2,5.16,,15.2,5.16
"06:30 - 06:45				",15.2,5.16,,15.2,5.16
"06:45 - 07:00			",15.2,5.16,,15.2,5.16
"07:00 - 07:15				",15.2,5.16,,15.2,5.16
"07:15 - 07:30				",15.2,5.16,,15.2,5.16
"07:30 - 07:45				",15.2,5.16,,15.2,5.16
"07:45 - 08:00				",15.2,5.16,,15.2,5.16
"08:00 - 08:15				",61.7,90.36,,61.7,90.36
"08:15 - 08:30				",61.7,90.36,,61.7,90.36
"08:30 - 08:45				",61.7,90.36,,61.7,90.36
"08:45 - 09:00				",61.7,90.36,,61.7,90.36
"09:00 - 09:15				",61.7,90.36,,61.7,90.36
"09:15 - 09:30			",61.7,90.36,,61.7,90.36
"09:30 - 09:45				",61.7,90.36,,61.7,90.36
"09:45 - 10:00				",61.7,90.36,,61.7,90.36
"10:00 - 10:15				",61.7,90.36,,61.7,90.36
"10:15 - 10:30				",61.7,90.36,,61.7,90.36
"10:30 - 10:45			",61.7,90.36,,61.7,90.36
"10:45 - 11:00				",61.7,90.36,,61.7,90.36
"11:00 - 11:15				",61.7,90.36,,61.7,90.36
"11:15 - 11:30			",61.7,90.36,,61.7,90.36
"11:30 - 11:45			",61.7,90.36,,61.7,90.36
"11:45 - 12:00				",61.7,90.36,,61.7,90.36
"12:00 - 12:15			",22.47,108.3,,22.47,108.3
"12:15 - 12:30				",22.47,108.3,,22.47,108.3
"12:30 - 12:45				",22.47,108.3,,22.47,108.3
"12:45 - 13:00			",22.47,108.3,,22.47,108.3
"13:00 - 13:15				",22.47,108.3,,22.47,108.3
"13:15 - 13:30				",22.47,108.3,,22.47,108.3
"13:30 - 13:45				",22.47,108.3,,22.47,108.3
"13:45 - 14:00				",22.47,108.3,,22.47,108.3
"14:00 - 14:15				",22.47,108.3,,22.47,108.3
"14:15 - 14:30				",22.47,108.3,,22.47,108.3
"14:30 - 14:45				",22.47,108.3,,22.47,108.3
"14:45 - 15:00				",22.47,108.3,,22.47,108.3
"15:00 - 15:15				",22.47,108.3,,22.47,108.3
"15:15 - 15:30				",22.47,108.3,,22.47,108.3
"15:30 - 15:45				",22.47,108.3,,22.47,108.3
"15:45 - 16:00				",22.47,108.3,,22.47,108.3
"16:00 - 16:15				",19,25.71,,19,25.71
"16:15 - 16:30				",19,25.71,,19,25.71
"16:30 - 16:45				",19,25.71,,19,25.71
"16:45 - 17:00				",19,25.71,,19,25.71
"17:00 - 17:15				",19,25.71,,19,25.71
"17:15 - 17:30				",19,25.71,,19,25.71
"17:30 - 17:45				",19,25.71,,19,25.71
"17:45 - 18:00				",19,25.71,,19,25.71
"18:00 - 18:15				",19,25.71,,19,25.71
"18:15 - 18:30			",19,25.71,,19,25.71
"18:30 - 18:45				",19,25.71,,19,25.71
"18:45 - 19:00				",19,25.71,,19,25.71
"19:00 - 19:15				",19,25.71,,19,25.71
"19:15 - 19:30		",19,25.71,,19,25.71
"19:30 - 19:45				",19,25.71,,19,25.71
"19:45 - 20:00				",19,25.71,,19,25.71
"20:00 - 20:15				",1.18,27.88,,1.18,27.88
"20:15 - 20:30				",1.18,27.88,,1.18,27.88
"20:30 - 20:45				",1.18,27.88,,1.18,27.88
"20:45 - 21:00				",1.18,27.88,,1.18,27.88
"21:00 - 21:15				",1.18,27.88,,1.18,27.88
"21:15 - 21:30				",1.18,27.88,,1.18,27.88
"21:30 - 21:45				",1.18,27.88,,1.18,27.88
"21:45 - 22:00				",1.18,27.88,,1.18,27.88
"22:00 - 22:15				",1.18,27.88,,1.18,27.88
"22:15 - 22:30				",1.18,27.88,,1.18,27.88
"22:30 - 22:45				",1.18,27.88,,1.18,27.88
"22:45 - 23:00				",1.18,27.88,,1.18,27.88
"23:00 - 23:15				",1.18,27.88,,1.18,27.88
"23:15 - 23:30				",1.18,27.88,,1.18,27.88
23:30 - 23:45,1.18,27.88,,1.18,27.88
23:45 - 24:00,1.18,27.88,,1.18,27.88
