Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Original resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
May 1, 2025 12:00 AM;May 1, 2025 12:15 AM;97.51;90.75;91.26;97.51;97.52;29.20;92.95;93.04;99.97;109.49;93.76;95.36;98.18;-;106.20;100.79;99.41
May 1, 2025 12:15 AM;May 1, 2025 12:30 AM;97.51;90.75;91.26;97.51;97.52;29.20;92.95;93.04;99.97;109.49;93.76;95.36;98.18;-;106.20;100.79;99.41
May 1, 2025 12:30 AM;May 1, 2025 12:45 AM;97.51;90.75;91.26;97.51;97.52;29.20;92.95;93.04;99.97;109.49;93.76;95.36;98.18;-;106.20;100.79;99.41
May 1, 2025 12:45 AM;May 1, 2025 1:00 AM;97.51;90.75;91.26;97.51;97.52;29.20;92.95;93.04;99.97;109.49;93.76;95.36;98.18;-;106.20;100.79;99.41
May 1, 2025 1:00 AM;May 1, 2025 1:15 AM;91.78;85.15;86.09;91.78;91.79;22.66;87.45;87.86;94.21;105.28;85.87;91.26;92.44;-;97.10;95.03;93.66
May 1, 2025 1:15 AM;May 1, 2025 1:30 AM;91.78;85.15;86.09;91.78;91.79;22.66;87.45;87.86;94.21;105.28;85.87;91.26;92.44;-;97.10;95.03;93.66
May 1, 2025 1:30 AM;May 1, 2025 1:45 AM;91.78;85.15;86.09;91.78;91.79;22.66;87.45;87.86;94.21;105.28;85.87;91.26;92.44;-;97.10;95.03;93.66
May 1, 2025 1:45 AM;May 1, 2025 2:00 AM;91.78;85.15;86.09;91.78;91.79;22.66;87.45;87.86;94.21;105.28;85.87;91.26;92.44;-;97.10;95.03;93.66
May 1, 2025 2:00 AM;May 1, 2025 2:15 AM;90.46;81.53;84.23;90.46;90.47;22.59;85.93;73.29;92.40;98.46;79.42;88.54;91.01;-;95.59;93.45;92.09
May 1, 2025 2:15 AM;May 1, 2025 2:30 AM;90.46;81.53;84.23;90.46;90.47;22.59;85.93;73.29;92.40;98.46;79.42;88.54;91.01;-;95.59;93.45;92.09
May 1, 2025 2:30 AM;May 1, 2025 2:45 AM;90.46;81.53;84.23;90.46;90.47;22.59;85.93;73.29;92.40;98.46;79.42;88.54;91.01;-;95.59;93.45;92.09
May 1, 2025 2:45 AM;May 1, 2025 3:00 AM;90.46;81.53;84.23;90.46;90.47;22.59;85.93;73.29;92.40;98.46;79.42;88.54;91.01;-;95.59;93.45;92.09
May 1, 2025 3:00 AM;May 1, 2025 3:15 AM;90.63;80.46;85.57;90.63;90.64;23.22;86.64;68.28;92.91;93.91;74.87;87.16;91.24;-;93.70;93.70;92.39
May 1, 2025 3:15 AM;May 1, 2025 3:30 AM;90.63;80.46;85.57;90.63;90.64;23.22;86.64;68.28;92.91;93.91;74.87;87.16;91.24;-;93.70;93.70;92.39
May 1, 2025 3:30 AM;May 1, 2025 3:45 AM;90.63;80.46;85.57;90.63;90.64;23.22;86.64;68.28;92.91;93.91;74.87;87.16;91.24;-;93.70;93.70;92.39
May 1, 2025 3:45 AM;May 1, 2025 4:00 AM;90.63;80.46;85.57;90.63;90.64;23.22;86.64;68.28;92.91;93.91;74.87;87.16;91.24;-;93.70;93.70;92.39
May 1, 2025 4:00 AM;May 1, 2025 4:15 AM;90.50;79.77;84.18;90.50;90.51;22.59;85.90;61.83;92.98;102.77;69.87;85.19;91.18;-;94.91;93.81;92.42
May 1, 2025 4:15 AM;May 1, 2025 4:30 AM;90.50;79.77;84.18;90.50;90.51;22.59;85.90;61.83;92.98;102.77;69.87;85.19;91.18;-;94.91;93.81;92.42
May 1, 2025 4:30 AM;May 1, 2025 4:45 AM;90.50;79.77;84.18;90.50;90.51;22.59;85.90;61.83;92.98;102.77;69.87;85.19;91.18;-;94.91;93.81;92.42
