Time,K_up,K_dn,,,,
00:00 - 00:15,0.000598924,0,,,,
"00:15 - 00:30			",0.000487413,0,,,,
00:30 - 00:45,0.002301078,0,,,,
00:45 - 01:00,0.000250758,0,,,,
01:00 - 01:15,0.001104091,0.000162169,,,,
01:15 - 01:30,0.001919842,0,,,,
01:30 - 01:45,0.000635427,0,,,,
01:45 - 02:00,0.00016992,0,,,,
02:00 - 02:15,0.0001706,0,,,,
02:15 - 02:30,0.000163234,0,,,,
02:30 - 02:45,0.00015448,0,,,,
"02:45 - 03:00	",0.000158142,0,,,,
"03:00 - 03:15				",0.000167296,0,,,,
"03:15 - 03:30				",0.000158599,0,,,,
"03:30 - 03:45				",0.000178739,0,,,,
"03:45 - 04:00				",0.00019639,0,,,,
"04:00 - 04:15				",0.000148532,0,,,,
"04:15 - 04:30				",0.000150969,0,,,,
"04:30 - 04:45				",0.000144633,0,,,,
"04:45 - 05:00				",0.000144161,0,,,,
"05:00 - 05:15				",0.00015798,0,,,,
"05:15 - 05:30			",0.000154564,0,,,,
"05:30 - 05:45				",0.000151198,0,,,,
"05:45 - 06:00				",0.000133581,0.000170586,,,,
"06:00 - 06:15				",0.000628663,0.000143726,,,,
"06:15 - 06:30				",0.000169132,0,,,,
"06:30 - 06:45				",0.000179176,0,,,,
"06:45 - 07:00			",0.000173744,0,,,,
"07:00 - 07:15				",0.00016264,0,,,,
"07:15 - 07:30				",0.00018912,0.001762404,,,,
"07:30 - 07:45				",0.000157899,0.000689023,,,,
"07:45 - 08:00				",0.000307558,0,,,,
"08:00 - 08:15				",0.000247432,6.63E-05,,,,
"08:15 - 08:30				",0.000250689,0.000781482,,,,
"08:30 - 08:45				",0.000310101,0.001922807,,,,
"08:45 - 09:00				",0.000364837,0.001102597,,,,
"09:00 - 09:15				",0.000175754,0.001170975,,,,
"09:15 - 09:30			",0.000257083,0.000802022,,,,
"09:30 - 09:45				",0.000158419,0.00338154,,,,
"09:45 - 10:00				",0.000215225,0.00057626,,,,
"10:00 - 10:15				",0.001683516,0.000331477,,,,
"10:15 - 10:30				",0.000188243,0.002222846,,,,
"10:30 - 10:45			",0.000163654,0.003123154,,,,
"10:45 - 11:00				",0.000160674,0.00035467,,,,
"11:00 - 11:15				",0.0001507,0.000663077,,,,
"11:15 - 11:30			",0.000164637,0.000403565,,,,
"11:30 - 11:45			",0.00013707,0.000525434,,,,
"11:45 - 12:00				",0.00016668,0.002090887,,,,
"12:00 - 12:15			",0.000165185,0.000599829,,,,
"12:15 - 12:30				",0.000165875,0.000126008,,,,
"12:30 - 12:45				",0.000255447,0,,,,
"12:45 - 13:00			",0.000154144,0.004726408,,,,
"13:00 - 13:15				",0.000284086,0.003061529,,,,
"13:15 - 13:30				",0.000169229,0.005280757,,,,
"13:30 - 13:45				",0.000169927,0.000752975,,,,
"13:45 - 14:00				",0.000169413,0.001488978,,,,
"14:00 - 14:15				",0.000202055,0,,,,
"14:15 - 14:30				",0.000169107,0.000402732,,,,
"14:30 - 14:45				",0.000104456,0.009978233,,,,
"14:45 - 15:00				",0.0002006,0,,,,
"15:00 - 15:15				",0.000348124,0,,,,
"15:15 - 15:30				",0.000172816,0.007759303,,,,
"15:30 - 15:45				",0.000218571,0.010465029,,,,
"15:45 - 16:00				",0.000197241,0.000738005,,,,
"16:00 - 16:15				",0.000198648,0,,,,
"16:15 - 16:30				",0.000469036,0.001313518,,,,
"16:30 - 16:45				",0.000996703,0.000160275,,,,
"16:45 - 17:00				",0.00066172,0,,,,
"17:00 - 17:15				",0.00076067,6.90E-05,,,,
"17:15 - 17:30				",0.006752904,0.014199431,,,, 
"17:30 - 17:45				",0.016142882,0,,,,
"17:45 - 18:00				",0.005449786,0,,,,
"18:00 - 18:15				",0.00013245,0.028682114,,,,
"18:15 - 18:30			",0.001088609,0.01957889,,,,
"18:30 - 18:45				",0.002581103,0.00012798,,,,
"18:45 - 19:00				",0.000841017,0,,,,
"19:00 - 19:15				",0,0.000204954,,,,
"19:15 - 19:30		",0.001839083,0.000218632,,,,
"19:30 - 19:45				",0.003576696,0,,,,
"19:45 - 20:00				",0.002283854,0,,,,
"20:00 - 20:15				",0.001554933,0,,,,
"20:15 - 20:30				",0.000430191,0,,,,
"20:30 - 20:45				",0.003701876,0,,,,
"20:45 - 21:00				",0.017691782,0.000274091,,,,
"21:00 - 21:15				",0.004808689,0.000275179,,,,
"21:15 - 21:30				",0.001359116,0.00057078,0.001359116,0.00057078,,
"21:30 - 21:45				",0,0.000819066,0,0.000819066,,
"21:45 - 22:00				",0.001085683,0.000328362,0.001085683,0.000328362,,
"22:00 - 22:15				",0.00069977,0.9,0.00069977,0.000397051,,
"22:15 - 22:30				",0,0.9,0,0.000706863,,
"22:30 - 22:45				",0.000154619,0.9,0.000154619,0.000505705,,
"22:45 - 23:00				",0.000239016,0.9,0.000239016,0.000379163,,
"23:00 - 23:15				",0,0.000238891,0,0.000238891,,
"23:15 - 23:30				",0,0.000657144,,,,
23:30 - 23:45,0.000153528,0.000593355,,,,
23:45 - 24:00,0.001579056,0,,,,
