scenario,ev_id,n_index,arrival_slot,departure_slot_next_day,timeslot,P_ev0_cc_MW
0,200,120,95,28,95,0.004973904424375273
0,200,120,95,28,0,0.0
0,200,120,95,28,1,0.0
0,200,120,95,28,2,0.0
0,200,120,95,28,3,0.0002022875892475569
0,200,120,95,28,4,0.0
0,200,120,95,28,5,0.0
0,200,120,95,28,6,0.0
0,200,120,95,28,7,0.0
0,200,120,95,28,8,0.0027270975522360897
0,200,120,95,28,9,0.0
0,200,120,95,28,10,0.0
0,200,120,95,28,11,0.0
0,200,120,95,28,12,0.0
0,200,120,95,28,13,0.0
0,200,120,95,28,14,2.01708068655691e-05
0,200,120,95,28,15,0.0
0,200,120,95,28,16,0.0008683788725710843
0,200,120,95,28,17,0.005729746663581267
0,200,120,95,28,18,0.0
0,200,120,95,28,19,0.003927409990855527
0,200,120,95,28,20,0.0019540534412430585
0,200,120,95,28,21,0.0066
0,200,120,95,28,22,0.0066
0,200,120,95,28,23,0.0
0,200,120,95,28,24,0.0013895304947762963
0,200,120,95,28,25,0.0
0,200,120,95,28,26,0.0
0,200,120,95,28,27,0.0004643388733751755
0,200,120,95,28,28,0.0066
0,201,121,95,30,95,0.004973904424375273
0,201,121,95,30,0,0.0
0,201,121,95,30,1,0.0
0,201,121,95,30,2,0.0
0,201,121,95,30,3,0.0002022875892475569
0,201,121,95,30,4,0.0
0,201,121,95,30,5,0.0
0,201,121,95,30,6,0.0
0,201,121,95,30,7,0.0
0,201,121,95,30,8,0.0027270975522360897
0,201,121,95,30,9,0.0
0,201,121,95,30,10,0.0
0,201,121,95,30,11,0.0
0,201,121,95,30,12,0.0
0,201,121,95,30,13,0.0
0,201,121,95,30,14,2.01708068655691e-05
0,201,121,95,30,15,0.0
0,201,121,95,30,16,0.0008683788725710843
0,201,121,95,30,17,0.005729746663581267
0,201,121,95,30,18,0.0
0,201,121,95,30,19,0.003927409990855527
0,201,121,95,30,20,0.0019540534412430585
0,201,121,95,30,21,0.0066
0,201,121,95,30,22,0.0066
0,201,121,95,30,23,0.0
0,201,121,95,30,24,0.0013895304947762963
0,201,121,95,30,25,0.0
0,201,121,95,30,26,0.0
0,201,121,95,30,27,0.0004643388733751755
0,201,121,95,30,28,0.0066
0,201,121,95,30,29,0.006599999999999999
0,201,121,95,30,30,0.005930395356149968
0,202,122,83,39,83,0.00047150781567259004
0,202,122,83,39,84,0.0
0,202,122,83,39,85,0.0
0,202,122,83,39,86,0.0
0,202,122,83,39,87,0.0
0,202,122,83,39,88,0.0
0,202,122,83,39,89,0.0
0,202,122,83,39,90,0.0
0,202,122,83,39,91,0.006599999999999999
0,202,122,83,39,92,0.0
0,202,122,83,39,93,0.006599999881682512
